filename,name,description,flavor,size,fats,carbohydrates,proteins
object_021_conf_0_74.jpg,Jumbo Honey Bun,A jumbo-sized Honey Bun.,Honey Bun,Not available,Not available,Not available,Not available
object_023_conf_0_69.jpg,M&M's,A bag of M&M's chocolate candies.,Chocolate,Not available,Not available,Not available,Not available
object_022_conf_0_72.jpg,Lay's,Lay's Sour and Onion flavored potato chips.,Sour and Onion,1 oz (28.3 g),Not available,Not available,Not available
object_009_conf_0_86.jpg,Bugles,Orange-colored corn chips in a bag. The bag shows 'Woody Snacks'.,Not available,7.6 OZ,Not available,Not available,Not available
object_024_conf_0_68.jpg,Snickers,"A chocolate bar with peanuts, caramel, and nougat.",Peanut,Not available,Not available,Not available,Not available
object_026_conf_0_63.jpg,Famous Chocolate Chip Cookies,6-ounce package of chocolate chip cookies with an original recipe.,Chocolate Chip,3.0 OZ (56g),12g,23g,3g
object_010_conf_0_85.jpg,Twix,Two Twix cookie bars.,Caramel and Cookie,2 cookie bars,Not available,Not available,Not available
object_017_conf_0_81.jpg,Cheez-It,Baked crackers. 100% real cheese.,Original,Not available,Not available,Not available,Not available
object_014_conf_0_84.jpg,Cheetos Puffs,Orange cheese flavored puffed corn snacks. Contains 140 calories per pack.,Cheese,8 oz,11g,14g,4g
object_028_conf_0_60.jpg,HERSHEY'S,HERSHEY'S Milk chocolate with whole almonds.,Milk chocolate with whole almonds,Not available,Not available,Not available,Not available
object_002_conf_0_89.jpg,Oreo,"Oreo cookies, 6 count. Nutritional information is partially visible, indicating fat, carbohydrates, and protein content.",Chocolate,6,11g,10g,2g
object_007_conf_0_87.jpg,Ritz,Ritz Toasted Cheese crackers. The package is next to a Peanut Butter package.,Plain,220 cal,Not available,Not available,Not available
object_001_conf_0_89.jpg,Ruffles,Ruffles Cheddar & Sour Cream potato chips.,Cheddar & Sour Cream,305g,Not available,Not available,Not available
object_004_conf_0_87.jpg,Nekot Sandwich Cookies,Large sandwich cookies with peanut butter flavor.,Peanut Butter,40,Not available,Not available,Not available
object_013_conf_0_85.jpg,Reese's,Reese's Peanut Butter Cup. It is a chocolate-covered peanut butter cup.,Peanut Butter Cup,2,Not available,Not available,Not available
object_000_conf_0_90.jpg,Lance Malt Sandwich Crackers Peanut Butter,Malt sandwich crackers with peanut butter flavor.,Peanut Butter,Not available,Not available,Not available,Not available
object_005_conf_0_87.jpg,Planters Salted Peanuts,A bag of salted peanuts with a cartoon character on the front.,Salted,2 oz (56g),12g,6g,7g
object_012_conf_0_85.jpg,Starburst,Starburst is a brand of fruit-flavored chews. The package is red with yellow and orange accents and features images of various fruit flavors.,Original,Not available,Not available,Not available,Not available
object_015_conf_0_84.jpg,Lay's,Yellow bag of Lay's Classic potato chips.,Classic,1.97 oz,Not available,Not available,Not available
object_029_conf_0_60.jpg,Mrs. Freshley's,Donut package from Mrs. Freshley's.,Not available,Not available,Not available,Not available,Not available
object_011_conf_0_85.jpg,Rowse Nekot Sandwich Cookies,Lemon Crème flavored sandwich cookies. Net Wt. 1.23 Lbs. 100g.,Lemon Crème,240,Not available,Not available,Not available
object_006_conf_0_87.jpg,Lay's,Lay's Salt & Vinegar flavored potato chips.,Salt & Vinegar,50g,Not available,Not available,Not available
object_016_conf_0_83.jpg,Taki's,"Spicy Taki's corn chips with chorizo, lime, and jalapeño.",Spicy,3000,Not available,Not available,Not available
object_003_conf_0_88.jpg,Gauduco,Vanilla Wafer,Vanilla,1.4 oz (40 g),Not available,Not available,Not available
object_025_conf_0_68.jpg,3 Musketeers,Chocolate bar with a layered sponge cake and chocolate coating.,Chocolate,Not available,Not available,Not available,Not available
object_008_conf_0_86.jpg,Natinal Cinnamon Almond Butter,14g of Whole Grain Cinnamon Almond Butter,Cinnamon Almond,14g,Not available,Not available,Not available
object_018_conf_0_80.jpg,Golden Flake,Thin & Crispy Potato Chips with Buffalo Ranch flavor.,Buffalo Ranch,4.4 OZ (126g),12g,15g,3g
object_027_conf_0_61.jpg,Skittles,A bag of Skittles Wild Berry flavored candies.,Wild Berry,Not available,Not available,Not available,Not available
object_019_conf_0_77.jpg,White Cheddar,White Cheddar flavored popcorn. Gluten free. Flavored. ,White Cheddar,5/8 OZ (12g),Not available,Not available,Not available
object_020_conf_0_76.jpg,Nabisco Stubb's,Sticky Sweet Bar-B-Q Cheese Crisps,Bar-B-Q,14oz,12g,190,10g
